Gene1+Gene2	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	T31	T32	T33	T34	T35	T36	T37
RFPL4A+RFPL4AL1	4	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	17
AGPAT3+SMYD3	8	4	0	4	0	0	0	0	0	0	4	0	0	6	0	4	0	0	0	0	0	0	10	0	0	0	0	5	0	8	0	0	0	0	0	7	0
BMP8A+BMP8B	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	4	0	0	0	4	0	0	10	0	0	4	0
PITPNM2+PLD5	0	0	0	0	0	0	5	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	8	0	0	0	6
XCL1+XCL2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	4	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
DLG2+NRCAM	0	0	0	0	0	0	5	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0
ABCC1+KCNH7	0	0	0	0	0	8	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	7	14	0	0	0	0	0	0	0	5	0	0
ANKLE2+TSNARE1	0	0	0	4	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	6	0	0	0	5	0	0	0	0	0	0	0	0	7	0	0	0	0
FBLN1+GPR1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	7	6	0	0	0	0	0	0	0	6	0
TPPP+ZDHHC11	0	0	0	0	5	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	4	0	0	5	0
CELA3A+CELA3B	0	0	0	7	0	0	6	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	9	0
DTX2+UPK3B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	5	0
CYP2A6+CYP2A7	0	0	4	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	5	9	0	0	0	0	0	0	0	0	0	5
AP3S1+PTPN14	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	4	5	0	6	0	0	0	0	0	0	8	5	0	0	0	0	0	17	0	0	10	0
AATF+KANSL1	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKAP8+ZNF329	0	0	0	6	0	0	0	0	4	0	6	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
CYP2A13+CYP2A7	0	0	0	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0
CEACAM21+CEACAM5	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	7	0	0	0	5	0	0
PABPC1+PABPC3	0	0	0	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0
CCDC148+IGSF11	0	0	0	4	5	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	5	0	0	4	0	0	0	0	0	0	0	0	0	0	6	0
NOTCH2+NOTCH2NL	0	0	4	0	5	0	4	6	0	0	0	4	6	0	0	0	0	0	0	4	0	4	0	0	4	0	0	0	0	4	7	0	5	0	0	0	10
ARHGAP24+RUNX1	0	0	0	4	4	0	0	0	0	0	12	0	0	0	0	0	0	0	0	4	0	0	0	8	0	0	0	4	0	0	0	0	0	0	0	0	0
KANSL1+PLCD3	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FSTL5+GUCY2C	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0
NECAB1+PHF3	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	6	0	0	14	0	0	0	0
KCNH1+MARK4	0	0	0	0	0	0	0	5	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	6	0	0	6	6
COL22A1+MARCH1	0	0	0	0	8	0	0	0	0	7	6	0	0	0	0	5	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	17	5	0	0	4
