AKAP8 ZNF329
ANKLE2 TSNARE1
ARHGEF3 MLF1IP
ATP2B2 CELF5
CEACAM21 CEACAM5
CELA3A CELA3B
DLG2 NRCAM
DTX2 UPK3B
FBLN1 GPR1
FSTL5 GUCY2C
MZT2A MZT2B
NECAB1 PHF3
OPCML WDFY4
POM121 PRKRIP1
RFPL4A RFPL4AL1
ARHGAP24 RUNX1
BMP8A BMP8B
C7orf63 CRYGA
CCDC148 IGSF11
CYP2A13 CYP2A7
LYZL1 LYZL2
PABPC1 PABPC3
TPPP ZDHHC11
XCL1 XCL2
ZNF431 ZNF714
KANSL1 PLCD3
KCNH1 MARK4
PITPNM2 PLD5
ABCC1 KCNH7
CYP2A6 CYP2A7
KCNH7 RFC1
SUZ12 U2SURP
AP3S1 PTPN14
CLEC17A MYO7A
COL22A1 MARCH1
IQCB1 KCNH7
AGPAT3 SMYD3
KANSL1 TANC2
ETFA TYRO3
ERG TMPRSS2
AATF KANSL1
NOTCH2 NOTCH2NL
PPFIBP2 RGL1
