Gene    Mean    SD
AATF    997.6704213 148.4179712
ABCC1   2410.420352 823.8113435
AGPAT3  2638.232    577.553786
AKAP8   616.0382039 108.3970227
ANKLE2  1233.126813 214.0628965
AP3S1   783.2027343 180.2860002
ARHGAP24    115.1003326 62.25585819
ARHGEF3 945.4388556 400.7887229
ATP2B2  3.486972472 5.02646302
BMP8A   241.1509837 119.8456195
BMP8B   64.73707865 57.57440042
C7orf63 579.3593371 781.9424521
CCDC148 7.311390449 4.925556898
CEACAM21    6.827731461 8.370816144
CEACAM5 106.7158101 348.2139616
CELA3A  0.103405056 0.618485633
CELA3B  0.213416854 0.491093892
CELF5   31.44507584 31.31713944
CLEC17A 3.120283146 9.53080807
COL22A1 229.4327691 286.9312911
CRYGA   0.008417416 0.064497585
CYP2A13 0.04514382  0.23223452
CYP2A6  3.938632022 7.344242647
CYP2A7  0.668388764 2.24942123
DLG2    232.3043893 132.8606774
DTX2    502.1535528 216.3334744
ERG 3354.454408 3779.518088
ETFA    1456.056806 446.1157186
FAM128A 769.9972343 439.7184327
FAM128B 1893.444645 972.4321713
FBLN1   5896.734527 5439.537021
FSTL5   0.767655056 1.782803346
GPR1    3.413802247 4.033225705
GUCY2C  2.262589888 5.229379165
IGSF11  5.928864607 7.199189867
IQCB1   458.0797961 134.9293261
KCNH1   14.60170506 19.26692423
KCNH7   0.503338764 0.56153863
KIAA1267    1155.835785 254.8923104
LYZL1   0.230291011 2.943679265
LYZL2   0.138005618 0.605714438
MARCH1  32.57911854 26.52304063
MARK4   802.4711382 174.8977523
MLF1IP  155.858882  128.2978762
MYO7A   89.35762135 61.45973272
NECAB1  99.55602022 74.91259404
NOTCH2NL    752.6242876 272.8306998
NOTCH2  5494.511342 1870.586164
NRCAM   275.7294669 390.1923427
OPCML   3.452151124 10.3617293
PABPC1  37016.16793 16402.22096
PABPC3  426.8861461 220.7251375
PHF3    2181.819926 501.3729615
PITPNM2 176.1212174 74.76743015
PLCD3   348.2606489 301.9083892
PLD5    10.06356404 14.28560058
POM121  2482.128208 647.9504253
PPFIBP2 819.7164376 342.1794247
PRKRIP1 599.3366073 217.5538388
PTPN14  246.5229966 120.3124509
RFC1    1563.591624 625.8118551
RFPL4A  0.742226404 1.424309233
RGL1    481.1153253 225.7269386
RUNX1   771.6128404 424.4559951
SMYD3   278.8535551 93.91330011
SR140   1794.992428 467.4213861
SUZ12   991.0968438 329.5054382
TANC2   890.571586  399.8664166
TMPRSS2 32416.18894 15978.78076
TPPP    214.3043376 133.6797206
TSNARE1 298.6850708 94.76079881
TYRO3   231.7553011 93.67329687
UPK3B   7.437133146 9.633076174
WDFY4   111.888782  179.0879725
XCL1    4.417824719 4.450212185
XCL2    5.264029775 6.198713003
ZDHHC11 93.79896236 90.38560538
ZNF329  391.1086978 95.20358
ZNF431  152.3163371 67.100504
ZNF714  186.8113921 108.0986908
